,Broj suseda,Spisak suseda
Q9BSJ2,4,"['A0A0S2Z591', 'P0DTC5', 'Q96CW5', 'XP_011535765']"
Q9BW27,4,"['A0A024R071', 'P0DTC5', 'Q8WUM0', 'Q9BW27']"
Q9BW92,2,"['P0DTC1', 'P0DTC5']"
Q9BXI2,1,['P0DTC5']
Q9BYX4,7,"['O95786', 'P0DTC5', 'P0DTD1', 'Q13114', 'Q7Z434', 'Q9BYX4', 'Q9UHD2']"
Q9C029-3,2,"['P0DTC5', 'Q9C029-3']"
Q9C0E2,3,"['O94829', 'P0DTC5', 'Q9C0E2']"
Q9H2U2,5,"['P0DTC5', 'Q8NCN5', 'Q9H2U2', 'XP_005247565', 'XP_006722173']"
Q9H7F0,2,"['P0DTC5', 'P0DTD1']"
Q9H9E3,2,"['P0DTC5', 'Q9H9E3']"
Q9H9P8,2,"['P0DTC5', 'P0DTC7']"
Q9NQC3,2,"['P0DTC5', 'Q9NQC3']"
Q9NQC3-6,5,"['A3KLL5', 'P0DTC5', 'P48047', 'Q6UX53', 'Q9NQC3-6']"
Q9NV66,2,"['P0DTC5', 'Q9Y487']"
Q9NVI1,5,"['O15287', 'P0DTC1', 'P0DTC5', 'P0DTC7', 'Q9NVI1']"
Q9UBQ6,2,"['P0DTC5', 'P0DTD8']"
Q9UBU6,1,['P0DTC5']
Q9UDY4,1,['P0DTC5']
Q9UHD2,10,"['A0A024R438', 'O95786', 'P0DTC5', 'P0DTC6', 'P0DTD1', 'P78527', 'Q13114', 'Q7Z434', 'Q9BYX4', 'Q9UHD2']"
Q9UI26,6,"['A0A024R882', 'F2YGU2', 'O43852-15', 'P0DTC5', 'P0DTC7', 'Q9Y312']"
Q9ULX6,1,['P0DTC5']
Q9UNE7,9,"['A0A140VJX1', 'B7Z6P0', 'D3YTB5', 'O00471', 'O15354', 'O95786', 'P0DTC5', 'P0DTD8', 'Q9UNE7']"
Q9UNS1,2,"['P0DTC5', 'P0DTD8']"
Q9UPT5,5,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9Y6D5']"
Q9Y312,11,"['A0A0S2Z3P9', 'A0A0S2Z591', 'B7ZM99', 'O75947', 'P0DTC5', 'P48047', 'P78527', 'Q13232', 'Q9UI26', 'Q9Y312', 'XP_005264473']"
Q9Y487,4,"['P0DTC5', 'P38606', 'Q00765', 'Q9NV66']"
Q9Y672,2,"['P0DTC5', 'P0DTD8']"
Q9Y6D5,5,"['A0A024R7X0', 'P0DTC5', 'P25686', 'Q9UPT5', 'XP_011539858']"
Q9Y6E2,3,"['O94919', 'P0DTC5', 'Q7Z434']"
XP_005244999,2,"['P0DTC5', 'XP_005244999']"
XP_005247565,7,"['F2YGU2', 'O00217', 'O75306', 'P0DTC5', 'P38606', 'Q9H2U2', 'XP_005254116']"
XP_005254116,4,"['F2YGU2', 'P0DTC5', 'XP_005247565', 'XP_006724050']"
XP_005259911,2,"['F2YGU2', 'P0DTC5']"
XP_005259935,2,"['P0DTC5', 'XP_005259935']"
XP_005260487,2,"['A0A024R882', 'P0DTC5']"
XP_005261163,1,['P0DTC5']
XP_005261969,4,"['P0DTC5', 'P42695', 'XP_005261969', 'XP_011539858']"
XP_005264473,5,"['F2YGU2', 'P0DTC5', 'P0DTC7', 'Q9Y312', 'XP_005264473']"
XP_005265883,1,['P0DTC5']
XP_005268763,2,"['P0DTC5', 'P0DTD8']"
XP_005270012,1,['P0DTC5']
XP_006711462,1,['P0DTC5']
XP_006711619,2,"['A0A024R3U8', 'P0DTC5']"
XP_006712466,1,['P0DTC5']
XP_006712606,3,"['F2YGU2', 'O75306', 'P0DTC5']"
XP_006714739,1,['P0DTC5']
XP_006717973,1,['P0DTC5']
XP_006718642,4,"['F2YGU2', 'P0DTC5', 'P0DTC7', 'XP_006724050']"
XP_006720763,1,['P0DTC5']
XP_006722173,5,"['A0A024R3U8', 'O75439', 'P0DTC5', 'Q9H2U2', 'XP_016870961']"
XP_006724050,6,"['P0DTC5', 'P0DTC7', 'Q15386', 'XP_005254116', 'XP_006718642', 'XP_006724050']"
XP_006725155,3,"['F2YGU2', 'P0DTC5', 'XP_006725155']"
XP_006725474,1,['P0DTC5']
XP_011514416,1,['P0DTC5']
XP_011516237,3,"['P0DTC5', 'Q86UT6-2', 'XP_011538615']"
XP_011517282,2,"['A0A024R374', 'P0DTC5']"
XP_011522186,1,['P0DTC5']
XP_011523835,1,['P0DTC5']
XP_011528462,1,['P0DTC5']
XP_011531066,1,['P0DTC5']
XP_011535590,2,"['F2YGU2', 'P0DTC5']"
XP_011535765,3,"['A0A0S2Z591', 'P0DTC5', 'Q9BSJ2']"
XP_011538615,3,"['P0DTC5', 'Q8WUM0', 'XP_011516237']"
XP_011539858,5,"['A0A0S2Z5H6', 'P0DTC5', 'P42695', 'Q9Y6D5', 'XP_005261969']"
XP_011540006,1,['P0DTC5']
XP_011543555,1,['P0DTC5']
XP_016857361,1,['P0DTC5']
XP_016864776,1,['P0DTC5']
XP_016866942,1,['P0DTC5']
XP_016869292,1,['P0DTC5']
XP_016869692,1,['P0DTC5']
XP_016870032,5,"['A0A024R374', 'A0A024R3U8', 'O75439', 'P0DTC5', 'Q96D53']"
XP_016870054,2,"['P0DTC5', 'Q8NFQ8']"
XP_016870961,3,"['P0DTC5', 'Q96D53', 'XP_006722173']"
XP_016872628,1,['P0DTC5']
XP_016876117,2,"['P0DTC5', 'P25686']"
XP_016879599,1,['P0DTC5']
XP_016882939,1,['P0DTC5']
XP_016884180,2,"['P0DTC5', 'XP_016884180']"
