,Broj suseda,Spisak suseda
P49810,3,"['P0DTC5', 'P0DTD8', 'Q8TAG9']"
P50542,2,"['P0DTC5', 'P50542']"
P51589,1,['P0DTC5']
P51617,13,"['O00165', 'O43852', 'O75694', 'O94822', 'P0DTC5', 'P13804', 'P51617', 'P78527', 'Q86UA1', 'Q9BRK5', 'Q9NVI1', 'Q9ULX6', 'Q9UNE7']"
P51636,4,"['O75947', 'P0DTC5', 'P48047', 'Q03135']"
P51649,2,"['P0DTC5', 'P51649']"
P52292,6,"['P0DTC5', 'P0DTC6', 'Q14653', 'Q16236', 'Q96JB5', 'Q9P2G1']"
P54707,2,"['P0DTC5', 'P54707']"
P61966,3,"['P0DTC5', 'P61966', 'Q14164']"
P78527,3,"['P0DTC5', 'P51617', 'P78527']"
P78545,4,"['P0DTC5', 'P13804', 'P78545', 'Q16236']"
P98198,2,"['P0DTC5', 'P98198']"
Q00765,4,"['P0DTC5', 'P0DTD8', 'Q96HR9', 'Q9Y487']"
Q02153,2,"['P0DTC5', 'Q02153']"
Q03135,3,"['P0DTC5', 'P51636', 'Q03135']"
Q03169,1,['P0DTC5']
Q05932,3,"['P0DTC5', 'Q05932', 'Q8NFQ8']"
Q07021-PRO_0000018590,4,"['P01042', 'P0DTC4', 'P0DTC5', 'P0DTC9']"
Q0JRZ9,2,"['P0DTC5', 'Q0JRZ9']"
Q10713,4,"['O75439', 'P0DTC5', 'Q8WWC4', 'Q96D53']"
Q12767,2,"['P0DTC5', 'Q12767']"
Q12959,3,"['P0DTC5', 'Q12959', 'Q96A65']"
Q13021,1,['P0DTC5']
Q13114,6,"['O95786', 'P0DTC5', 'Q13114', 'Q14164', 'Q7Z434', 'Q9UHD2']"
Q13232,1,['P0DTC5']
Q13608,1,['P0DTC5']
Q14164,12,"['O43399', 'P0DTC5', 'P13804', 'P48047', 'P61966', 'Q13114', 'Q14164', 'Q14653', 'Q6UB35', 'Q7Z434', 'Q9BYX4', 'Q9UHD2']"
Q14653,7,"['O60684', 'P0DTC5', 'P52292', 'Q14164', 'Q14653', 'Q7Z434', 'Q9UHD2']"
Q15054,1,['P0DTC5']
Q15386,3,"['P0DTC5', 'P0DTC7', 'Q15386']"
Q15758,2,"['P0DTC5', 'Q15758']"
Q16236,4,"['P0DTC5', 'P52292', 'P78545', 'Q16236']"
Q16585,2,"['P0DTC5', 'P0DTD8']"
Q16890,3,"['O43399', 'P0DTC5', 'Q16890']"
Q3MJ13,1,['P0DTC5']
Q4KMQ2,3,"['P0DTC5', 'P0DTD8', 'Q4KMQ2']"
Q53H96,2,"['P0DTC5', 'Q53H96']"
Q53HI1,1,['P0DTC5']
Q58EX7,2,"['P0DTC5', 'Q58EX7']"
Q5BJH7,3,"['O15354', 'P0DTC5', 'Q5BJH7']"
Q5HYK7,2,"['P0DTC5', 'Q5HYK7']"
Q5JRX3,3,"['P0DTC5', 'Q5JRX3', 'Q96D53']"
Q5SWX8,2,"['P0DTC5', 'Q5SWX8']"
Q5T3U5,2,"['P0DTC5', 'Q5T3U5']"
Q5T4D3,2,"['P0DTC5', 'Q5T4D3']"
Q5XKP0,3,"['P0DTC5', 'P0DTD8', 'Q96CM8']"
Q68DH5,1,['P0DTC5']
Q6IBW4,3,"['P0DTC5', 'P42695', 'Q6IBW4']"
Q6NT16,1,['P0DTC5']
Q6P3X3,2,"['P0DTC5', 'P0DTC7']"
Q6PML9,1,['P0DTC5']
Q6SZW1,2,"['P0DTC5', 'Q6SZW1']"
Q6UB35,2,"['P0DTC5', 'Q14164']"
Q6UVM3,2,"['P0DTC5', 'Q6UVM3']"
Q6UX53,2,"['P0DTC5', 'Q9NQC3']"
Q6UX65,2,"['P0DTC5', 'P0DTD8']"
Q6ZT07,1,['P0DTC5']
Q709C8,2,"['P0DTC5', 'Q709C8']"
Q75V66,1,['P0DTC5']
Q7L8L6,2,"['P0DTC5', 'Q86UT6']"
Q7Z3C6,4,"['P0DTC5', 'Q7Z3C6', 'Q9UHD2', 'Q9UKV5']"
Q7Z3D6,1,['P0DTC5']
Q7Z401,1,['P0DTC5']
Q7Z434,11,"['O95786', 'P0DTC5', 'P0DTD8', 'Q13114', 'Q14164', 'Q14653', 'Q7Z434', 'Q86UT6', 'Q9BYX4', 'Q9UHD2', 'Q9Y6E2']"
Q7Z4H7,4,"['P0DTC5', 'P0DTD1-PRO_0000449619', 'Q7Z4H7', 'Q86UT6']"
Q7Z4R8,1,['P0DTC5']
Q86UA1,2,"['P0DTC5', 'P51617']"
Q86UT6,6,"['P0DTC5', 'P0DTC7', 'Q7L8L6', 'Q7Z434', 'Q7Z4H7', 'Q86UT6']"
Q86VP1,3,"['P0DTC5', 'Q86VP1', 'Q9BYX4']"
Q86YS7,2,"['P0DTC5', 'Q86YS7']"
Q8IVF2,2,"['P0DTC5', 'Q8IVF2']"
Q8IW50,3,"['O15354', 'P0DTC5', 'Q8IW50']"
Q8IWZ3,2,"['P0DTC5', 'Q8IWZ3']"
Q8IZQ1,2,"['P0DTC5', 'Q8IZQ1']"
Q8N2H3,1,['P0DTC5']
Q8N442,1,['P0DTC5']
Q8N5G2,2,"['P0DTC5', 'Q8N5G2']"
Q8NCN5,1,['P0DTC5']
Q8ND30,2,"['P0DTC5', 'Q8ND30']"
Q8NDA8,1,['P0DTC5']
Q8NEN9,1,['P0DTC5']
Q8NEW0,1,['P0DTC5']
Q8NFQ8,2,"['P0DTC5', 'Q05932']"
Q8NHH9,3,"['P0DTC5', 'P42695', 'Q8NHH9']"
Q8NI22,1,['P0DTC5']
Q8TAG9,6,"['O00471', 'P0DTC5', 'P49810', 'Q8TAG9', 'Q96A65', 'Q9UPT5']"
Q8TDY4,2,"['P0DTC5', 'Q8TDY4']"
Q8TEY7,3,"['P0DTC5', 'Q8TEY7', 'Q99675']"
Q8WUM0,2,"['P0DTC5', 'Q9BW27']"
Q8WVV5,1,['P0DTC5']
Q8WWC4,9,"['O75306', 'O75439', 'P0DTC5', 'P13804', 'P42695', 'P48047', 'Q10713', 'Q96CM8', 'Q9BW92']"
Q8WXA3,3,"['P0DTC5', 'P0DTD8', 'Q8WXA3']"
Q92538,2,"['P0DTC5', 'Q92538']"
Q92791,1,['P0DTC5']
Q92820,2,"['P0DTC5', 'P38606']"
Q93084,3,"['P0DTC5', 'Q93084', 'Q99675']"
Q969N2,3,"['P0DTC5', 'P27105', 'Q969N2']"
Q96A65,6,"['O00471', 'P0DTC5', 'Q12959', 'Q8TAG9', 'Q96A65', 'Q9UPT5']"
Q96CB8,3,"['O43852', 'P0DTC5', 'P0DTC7']"
Q96CM8,4,"['P0DTC5', 'Q5XKP0', 'Q8WWC4', 'Q9H2U2']"
Q96CW5,2,"['P0DTC5', 'Q9BSJ2']"
Q96D53,5,"['O75439', 'P0DTC5', 'Q10713', 'Q5JRX3', 'Q96D53']"
Q96ED9,3,"['P0DTC5', 'Q96ED9', 'Q9BXS5']"
Q96ER3,2,"['P0DTC5', 'P27105']"
Q96HR9,5,"['P0DTC5', 'P0DTC6', 'Q00765', 'Q96HR9', 'Q9UMY4']"
Q96HU1,1,['P0DTC5']
Q96HW7,3,"['P0DTC5', 'P0DTC7', 'Q96HW7']"
Q96I59,1,['P0DTC5']
Q96JB5,3,"['P0DTC5', 'P52292', 'Q96JB5']"
Q96JI7,2,"['P0DTC5', 'Q96JI7']"
Q96MT1,1,['P0DTC5']
Q96NT5,2,"['P0DTC5', 'Q96NT5']"
Q96Q80,1,['P0DTC5']
Q96RL7,2,"['P0DTC5', 'Q96RL7']"
Q96RQ1,1,['P0DTC5']
Q99675,3,"['P0DTC5', 'Q8TEY7', 'Q93084']"
Q99720,3,"['P0DTC5', 'P27105', 'Q99720']"
Q99797,1,['P0DTC5']
Q99963,5,"['A6NFN3', 'O43251', 'P0DTC5', 'P0DTC6', 'Q99963']"
Q9BQT8,1,['P0DTC5']
Q9BRK5,4,"['P0DTC5', 'P51617', 'Q9H019', 'Q9Y6D5']"
Q9BSJ2,2,"['P0DTC5', 'Q96CW5']"
Q9BW27,2,"['P0DTC5', 'Q8WUM0']"
Q9BW92,2,"['P0DTC5', 'Q8WWC4']"
Q9BXI2,2,"['P0DTC5', 'P0DTD1-PRO_0000449629']"
Q9BXS5,2,"['P0DTC5', 'Q96ED9']"
Q9BYX4,5,"['P0DTC5', 'Q14164', 'Q7Z434', 'Q86VP1', 'Q9BYX4']"
Q9BZD2,1,['P0DTC5']
Q9C029,2,"['P0DTC5', 'Q9C029']"
Q9C0E2,1,['P0DTC5']
Q9H019,3,"['P0DTC5', 'Q9BRK5', 'Q9H019']"
Q9H1H9,2,"['P0DTC5', 'Q9H1H9']"
Q9H2U2,3,"['P0DTC5', 'Q96CM8', 'Q9H2U2']"
Q9H4G0,3,"['O00165', 'P0DTC5', 'Q9H4G0']"
Q9H7F0,1,['P0DTC5']
Q9H9E3,2,"['P0DTC5', 'Q9H9E3']"
Q9H9P8,3,"['P0DTC5', 'P0DTC7', 'Q9H9P8']"
Q9NQC3,3,"['P0DTC5', 'Q6UX53', 'Q9NQC3']"
Q9NV64,1,['P0DTC5']
Q9NV66,2,"['P0DTC5', 'Q9Y487']"
Q9NVI1,4,"['P0DTC5', 'P0DTC7', 'P51617', 'Q9NVI1']"
Q9P2G1,2,"['P0DTC5', 'P52292']"
Q9UBQ6,2,"['P0DTC5', 'P0DTD8']"
Q9UBU6,1,['P0DTC5']
Q9UDR5,1,['P0DTC5']
Q9UDY4,2,"['O75953', 'P0DTC5']"
Q9UHD2,8,"['P0DTC5', 'P0DTC6', 'Q13114', 'Q14164', 'Q14653', 'Q7Z3C6', 'Q7Z434', 'Q9UHD2']"
Q9UI26,4,"['P0DTC5', 'P0DTC7', 'P27105', 'Q9UI26']"
Q9UIX4,1,['P0DTC5']
Q9UKV5,3,"['P0DTC5', 'Q7Z3C6', 'Q9UKV5']"
Q9ULX6,5,"['P0DTC4', 'P0DTC5', 'P0DTC9', 'P51617', 'Q9ULX6']"
Q9UMY4,3,"['P0DTC5', 'Q96HR9', 'Q9UMY4']"
Q9UNE7,5,"['O00471', 'P0DTC5', 'P0DTD8', 'P51617', 'Q9UNE7']"
Q9UNF0,2,"['P0DTC5', 'Q9UNF0']"
Q9UNS1,3,"['P0DTC5', 'P0DTD8', 'Q9UNS1']"
Q9UP95,2,"['P0DTC5', 'Q9UP95']"
Q9UPM8,1,['P0DTC5']
Q9UPT5,6,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9UPT5', 'Q9Y6D5']"
Q9Y2W3,1,['P0DTC5']
Q9Y312,1,['P0DTC5']
Q9Y426,2,"['P0DTC5', 'Q9Y426']"
Q9Y487,3,"['P0DTC5', 'Q00765', 'Q9NV66']"
Q9Y5Y2,1,['P0DTC5']
Q9Y672,2,"['P0DTC5', 'P0DTD8']"
Q9Y6A1,2,"['P0DTC5', 'Q9Y6A1']"
Q9Y6D5,4,"['P0DTC5', 'Q9BRK5', 'Q9UPT5', 'Q9Y6D6']"
Q9Y6D6,3,"['P0DTC5', 'P0DTC7', 'Q9Y6D5']"
Q9Y6E2,3,"['O94919', 'P0DTC5', 'Q7Z434']"
